Year,Quarter,Overnight,1 week,1 month,3 months,6 months
2006,Q1,3.92,3.96,4.15,4.44,4.57
2006,Q2,3.99,3.96,4.19,4.56,4.8
2006,Q3,3.8,3.94,4.25,4.21,4.26
2006,Q4,4.04,3.92,3.91,3.9,3.95
2007,Q1,4.31,4.54,4.23,4.2,4.2
2007,Q2,4.2,4.35,4.48,4.47,4.54
2007,Q3,5.02,5.92,5.47,5.15,4.98
2007,Q4,3.44,3.21,3.25,3.45,3.54
2008,Q1,1.5,1.5,1.68,1.98,1.98
2008,Q2,2.34,1.8,1.9,2.31,2.61
2008,Q3,2.37,3.71,4.36,3.66,3.5
2008,Q4,0.2,0.11,0.3,0.95,1.45
2009,Q1,0.35,0.2,0.32,0.9,1.2
2009,Q2,0.13,0.1,0.1,0.36,0.66
2009,Q3,0.05,0.1,0.14,0.22,0.53
2009,Q4,0.03,0.05,0.08,0.14,0.29
2010,Q1,0.04,0.05,0.1,0.15,0.25
2010,Q2,0.1,0.22,0.52,0.57,0.7
2010,Q3,0.1,0.15,0.24,0.33,0.45
2010,Q4,0.05,0.08,0.23,0.28,0.37
2011,Q1,0.05,0.09,0.21,0.26,0.33
2011,Q2,0.05,0.06,0.2,0.26,0.34
2011,Q3,0.05,0.06,0.21,0.28,0.38
2011,Q4,0.39,0.44,0.34,0.38,0.56
2012,Q1,0.1,0.11,0.3,0.4,0.55
2012,Q2,0.1,0.13,0.3,0.4,0.57
2012,Q3,0.17,0.2,0.3,0.4,0.55
2012,Q4,0.1,0.13,0.28,0.4,0.55
2013,Q1,0.08,0.1,0.21,0.38,0.54
2013,Q2,0.09,0.12,0.21,0.38,0.55
2013,Q3,0.1,0.14,0.22,0.39,0.55
2013,Q4,0.08,0.14,0.21,0.38,0.55
2014,Q1,0.06,0.13,0.21,0.37,0.55
2014,Q2,0.2,0.19,0.23,0.38,0.55
2014,Q3,0.06,0.16,0.25,0.38,0.54
2014,Q4,0.05,0.11,0.24,0.38,0.54
2015,Q1,0.06,0.12,0.24,0.39,0.53
2015,Q2,0.11,0.14,0.24,0.39,0.54
2015,Q3,0.08,0.1,0.24,0.4,0.56
2015,Q4,0.05,0.11,0.22,0.39,0.55
2016,Q1,0.09,0.12,0.23,0.56,0.89
2016,Q2,0.12,0.15,0.26,0.57,0.89
2016,Q3,0.22,0.15,0.29,0.59,0.94
2016,Q4,0.66,0.62,0.75,1.02,1.27
2017,Q1,0.1,0.22,0.44,0.94,1.08
2017,Q2,0.34,0.37,0.47,0.78,0.98
2017,Q3,0.92,0.67,0.58,0.78,0.96
2017,Q4,1.34,1.32,1.19,1.31,1.36
2018,Q1,0.59,0.9,0.99,1.21,1.54
2018,Q2,2.7,2.24,2.01,2.1,2.26
2018,Q3,3.88,3.04,2.23,2.28,2.38
2018,Q4,4.6,2.55,2.24,2.33,2.46
2019,Q1,2.67,1.88,1.66,1.76,1.93
2019,Q2,2.97,2.76,2.53,2.46,2.4
2019,Q3,3.04,2.23,1.88,2.26,2.33
2019,Q4,4.56,3.13,2.67,2.43,2.43
2020,Q1,1.85,2.01,2.05,1.93,1.94
2020,Q2,0.18,0.29,0.44,0.78,1.02
2020,Q3,0.1,0.18,0.48,0.61,0.75
2020,Q4,0.04,0.09,0.18,0.35,0.54
2021,Q1,0.03,0.06,0.13,0.23,0.42
2021,Q2,0.05,0.07,0.1,0.17,0.26
2021,Q3,0.04,0.04,0.06,0.14,0.24
2021,Q4,0.06,0.08,0.16,0.26,0.32
