"","close","month"
"1",4.15,2006-02-01
"2",4.15,2006-03-01
"3",4.19,2006-04-01
"4",4.19,2006-05-01
"5",4.19,2006-06-01
"6",4.25,2006-07-01
"7",4.25,2006-08-01
"8",4.25,2006-09-01
"9",3.91,2006-10-01
"10",3.91,2006-11-01
"11",3.91,2006-12-01
"12",4.23,2007-01-01
"13",4.23,2007-02-01
"14",4.23,2007-03-01
"15",4.48,2007-04-01
"16",4.48,2007-05-01
"17",4.48,2007-06-01
"18",5.47,2007-07-01
"19",5.47,2007-08-01
"20",5.47,2007-09-01
"21",3.25,2007-10-01
"22",3.25,2007-11-01
"23",3.25,2007-12-01
"24",1.68,2008-01-01
"25",1.68,2008-02-01
"26",1.68,2008-03-01
"27",1.9,2008-04-01
"28",1.9,2008-05-01
"29",1.9,2008-06-01
"30",4.36,2008-07-01
"31",4.36,2008-08-01
"32",4.36,2008-09-01
"33",0.3,2008-10-01
"34",0.3,2008-11-01
"35",0.3,2008-12-01
"36",0.32,2009-01-01
"37",0.32,2009-02-01
"38",0.32,2009-03-01
"39",0.1,2009-04-01
"40",0.1,2009-05-01
"41",0.1,2009-06-01
"42",0.14,2009-07-01
"43",0.14,2009-08-01
"44",0.14,2009-09-01
"45",0.08,2009-10-01
"46",0.08,2009-11-01
"47",0.08,2009-12-01
"48",0.1,2010-01-01
"49",0.1,2010-02-01
"50",0.1,2010-03-01
"51",0.52,2010-04-01
"52",0.52,2010-05-01
"53",0.52,2010-06-01
"54",0.24,2010-07-01
"55",0.24,2010-08-01
"56",0.24,2010-09-01
"57",0.23,2010-10-01
"58",0.23,2010-11-01
"59",0.23,2010-12-01
"60",0.21,2011-01-01
"61",0.21,2011-02-01
"62",0.21,2011-03-01
"63",0.2,2011-04-01
"64",0.2,2011-05-01
"65",0.2,2011-06-01
"66",0.21,2011-07-01
"67",0.21,2011-08-01
"68",0.21,2011-09-01
"69",0.34,2011-10-01
"70",0.34,2011-11-01
"71",0.34,2011-12-01
"72",0.3,2012-01-01
"73",0.3,2012-02-01
"74",0.3,2012-03-01
"75",0.3,2012-04-01
"76",0.3,2012-05-01
"77",0.3,2012-06-01
"78",0.3,2012-07-01
"79",0.3,2012-08-01
"80",0.3,2012-09-01
"81",0.28,2012-10-01
"82",0.28,2012-11-01
"83",0.28,2012-12-01
"84",0.21,2013-01-01
"85",0.21,2013-02-01
"86",0.21,2013-03-01
"87",0.21,2013-04-01
"88",0.21,2013-05-01
"89",0.21,2013-06-01
"90",0.22,2013-07-01
"91",0.22,2013-08-01
"92",0.22,2013-09-01
"93",0.21,2013-10-01
"94",0.21,2013-11-01
"95",0.21,2013-12-01
"96",0.21,2014-01-01
"97",0.21,2014-02-01
"98",0.21,2014-03-01
"99",0.23,2014-04-01
"100",0.23,2014-05-01
"101",0.23,2014-06-01
"102",0.25,2014-07-01
"103",0.25,2014-08-01
"104",0.25,2014-09-01
"105",0.24,2014-10-01
"106",0.24,2014-11-01
"107",0.24,2014-12-01
"108",0.24,2015-01-01
"109",0.24,2015-02-01
"110",0.24,2015-03-01
"111",0.24,2015-04-01
"112",0.24,2015-05-01
"113",0.24,2015-06-01
"114",0.24,2015-07-01
"115",0.24,2015-08-01
"116",0.24,2015-09-01
"117",0.22,2015-10-01
"118",0.22,2015-11-01
"119",0.22,2015-12-01
"120",0.23,2016-01-01
"121",0.23,2016-02-01
"122",0.23,2016-03-01
"123",0.26,2016-04-01
"124",0.26,2016-05-01
"125",0.26,2016-06-01
"126",0.29,2016-07-01
"127",0.29,2016-08-01
"128",0.29,2016-09-01
"129",0.75,2016-10-01
"130",0.75,2016-11-01
"131",0.75,2016-12-01
"132",0.44,2017-01-01
"133",0.44,2017-02-01
"134",0.44,2017-03-01
"135",0.47,2017-04-01
"136",0.47,2017-05-01
"137",0.47,2017-06-01
"138",0.58,2017-07-01
"139",0.58,2017-08-01
"140",0.58,2017-09-01
"141",1.19,2017-10-01
"142",1.19,2017-11-01
"143",1.19,2017-12-01
"144",0.99,2018-01-01
"145",0.99,2018-02-01
"146",0.99,2018-03-01
"147",2.01,2018-04-01
"148",2.01,2018-05-01
"149",2.01,2018-06-01
"150",2.23,2018-07-01
"151",2.23,2018-08-01
"152",2.23,2018-09-01
"153",2.24,2018-10-01
"154",2.24,2018-11-01
"155",2.24,2018-12-01
"156",1.66,2019-01-01
"157",1.66,2019-02-01
"158",1.66,2019-03-01
"159",2.53,2019-04-01
"160",2.53,2019-05-01
"161",2.53,2019-06-01
"162",1.88,2019-07-01
"163",1.88,2019-08-01
"164",1.88,2019-09-01
"165",2.67,2019-10-01
"166",2.67,2019-11-01
"167",2.67,2019-12-01
"168",2.05,2020-01-01
"169",2.05,2020-02-01
"170",2.05,2020-03-01
"171",0.44,2020-04-01
"172",0.44,2020-05-01
"173",0.44,2020-06-01
"174",0.48,2020-07-01
"175",0.48,2020-08-01
"176",0.48,2020-09-01
"177",0.18,2020-10-01
"178",0.18,2020-11-01
"179",0.18,2020-12-01
"180",0.13,2021-01-01
"181",0.13,2021-02-01
"182",0.13,2021-03-01
"183",0.1,2021-04-01
"184",0.1,2021-05-01
"185",0.1,2021-06-01
"186",0.06,2021-07-01
"187",0.06,2021-08-01
"188",0.06,2021-09-01
"189",0.16,2021-10-01
"190",0.16,2021-11-01
"191",0.16,2021-12-01
