date,new asympt cases,new cases
2022-03-17,203,57
2022-03-18,366,8
2022-03-19,492,17
2022-03-20,734,24
2022-03-21,865,31
2022-03-22,977,4
2022-03-23,979,4
2022-03-24,1580,29
2022-03-25,2231,38
2022-03-26,2631,45
2022-03-27,3450,50
2022-03-28,4381,96
2022-03-29,5656,326
2022-03-30,5298,355
2022-03-31,4144,358
2022-04-01,6051,260
2022-04-02,7788,438
2022-04-03,8581,425
2022-04-04,13086,268
2022-04-05,16766,311
2022-04-06,19660,322
2022-04-07,20398,824
2022-04-08,22609,1015
2022-04-09,23937,1006
2022-04-10,25173,914
2022-04-11,22348,994
2022-04-12,25141,1189
2022-04-13,25146,2573
2022-04-14,19872,3200
2022-04-15,19923,3590
2022-04-16,21582,3238
2022-04-17,19831,2417
2022-04-18,17332,3084
2022-04-19,16407,2494
